"MAPA/Integer/set/order=0","DELEGACIO/Decimal/set/precision=2/set/scale=0/set/roundMode=4/set/locale=en/set/order=10","MUNICIPIO/Decimal/set/precision=3/set/scale=0/set/roundMode=4/set/locale=en/set/order=20","MASA/String/set/size=5/set/order=30","HOJA/String/set/size=7/set/order=40","TIPO/String/set/size=1/set/order=50","PARCELA/String/set/size=5/set/order=60","COORX/Decimal/set/precision=8/set/scale=2/set/roundMode=4/set/locale=en/set/order=70","COORY/Decimal/set/precision=9/set/scale=2/set/roundMode=4/set/locale=en/set/order=80","VIA/Integer/set/order=90","NUMERO/Integer/set/order=100","NUMERODUP/String/set/size=1/set/order=110","NUMSYMBOL/Decimal/set/precision=2/set/scale=0/set/roundMode=4/set/locale=en/set/order=120","AREA/Integer/set/order=130","GEOMETRY/Geometry/set/srs=EPSG@23030/set/geomtype=Multipolygon@2D/set/order=160"
"242","46","900","68368","YJ2763F","U","05","726845.52","4373657.07","2635","3",,"6","92","POLYGON ((-0.3638179703603173 39.48082487382687, -0.3637242450588968 39.480831756127195, -0.363717521984968 39.48077277703317, -0.3638167096912267 39.48076592857515, -0.3638174099959122 39.48076585437619, -0.3638803490045488 39.48076151669747, -0.3638870756164494 39.48082040577727, -0.363823794902998 39.480824555533644, -0.3638179703603173 39.48082487382687))"
"242","46","900","69371","YJ2763H","U","02","726938.34","4373827.16","770","12",,"6","551","POLYGON ((-0.3627510411910367 39.48236853090532, -0.3627503510752459 39.48236833506915, -0.3627425342992039 39.48236599557963, -0.362571149533323 39.482314449854385, -0.3625508047602647 39.48230831261736, -0.3626169325711461 39.48217351255375, -0.3626209590562015 39.482165406064496, -0.3626214576888825 39.48216451651619, -0.3626686586142303 39.4820691051009, -0.362878339250596 39.482100889981545, -0.3628150711259528 39.48223386328571, -0.36281457249515 39.48223475283487, -0.3627510411910367 39.48236853090532))"
"242","46","900","72359","YJ2773E","U","02","727275.18","4373597.10","470","2",,"6","875","POLYGON ((-0.3588022369207894 39.48018288730005, -0.3587532891139116 39.480170784151, -0.358753155930457 39.48017123155648, -0.3585030132821003 39.480115277167194, -0.3584280853574472 39.48009852939194, -0.3584382106156225 39.480027591190485, -0.3584434575287748 39.479990324547266, -0.3584616221997257 39.47986362534861, -0.3585884216090524 39.479892002279264, -0.3586185081717589 39.47989872199346, -0.3588424785407004 39.47994894631359, -0.3588022369207894 39.48018288730005))"
"242","46","900","73398","YJ2773G","U","03","727304.39","4373928.79","2598","11",,"6","1035","POLYGON ((-0.3581090844754236 39.483279889873415, -0.3580804934619372 39.483279690247464, -0.3580782865290825 39.48327964006933, -0.3580192480581244 39.48326379379163, -0.3580179501883434 39.48326736774227, -0.3580053265796752 39.48326302682403, -0.3580041721289816 39.48326588334337, -0.3579893449975936 39.48326140223486, -0.3579882794350076 39.483264981467194, -0.3579660934095871 39.483258351130296, -0.3579605759425019 39.48325669420569, -0.3579589023410478 39.48326098030449, -0.3579191835641349 39.48325070818975, -0.35794239982182 39.483202499275656, -0.3580088991562821 39.483064287121245, -0.3580216463333908 39.483037731174065, -0.3581113836305624 39.483056437506654, -0.3582679038876921 39.483089094035456, -0.3582782827815624 39.483091311901916, -0.3583597150621854 39.4831082977593, -0.3583733258311383 39.48311112961032, -0.3585444957085166 39.48314682140801, -0.3585275305686793 39.48318346130525, -0.3584814305521944 39.483283400304465, -0.3584681370973319 39.48331210596044, -0.3584351415334465 39.48330234720767, -0.3584296104200034 39.483301050341076, -0.3584235053499358 39.48329956025308, -0.358390670546272 39.483291696959284, -0.3583703330093966 39.48328844192369, -0.3583676750889961 39.48328802115218, -0.3583603948466774 39.48328686469044, -0.3583478808413198 39.48328576941553, -0.3583441741238843 39.48328541488638, -0.3583089483831911 39.48328236188511, -0.3582851026560163 39.48328272062433, -0.3582583462535788 39.483283193357344, -0.3582505536863267 39.4832832864522, -0.358197621653314 39.483284245100336, -0.3581100989114687 39.483277660775165, -0.3581090844754236 39.483279889873415))"
"242","46","900","79322","YJ2773D","U","08","727915.75","4373200.73","993","25",,"6","596","POLYGON ((-0.3514757195802507 39.47669805990323, -0.3514449041533628 39.47668915966691, -0.3514319098222255 39.47668544020244, -0.3513028957325078 39.4766482666589, -0.3513270636832713 39.47654747022884, -0.3513309783737983 39.47650864209129, -0.3513345890389343 39.47647169884002, -0.351334742756828 39.47647071139232, -0.3513383260893324 39.4764344882097, -0.3513423500736462 39.4763927797942, -0.351347453501847 39.47639307629262, -0.3514088176185991 39.47639645688633, -0.3514222730447228 39.47639721400806, -0.3514929183077659 39.47640107636092, -0.3515093900204295 39.47640199230716, -0.3515717994384907 39.476405396639464, -0.3515771351537858 39.47640569842203, -0.3515732650226908 39.47644641940214, -0.3515695964195198 39.47648489281239, -0.351566108851202 39.47652165870485, -0.3515643531104289 39.476540356681184, -0.3515623992497636 39.47656121221802, -0.3515505663699952 39.47656058217953, -0.3515305216415632 39.476601745285585, -0.3514962187279554 39.47667249212972, -0.3514878872289425 39.47668986910275, -0.3514828487019043 39.47670011421004, -0.3514757195802507 39.47669805990323))"
"242","46","900","79322","YJ2773D","U","12","727903.79","4373246.31","563","8",,"6","897","POLYGON ((-0.3515565966745643 39.47694692044835, -0.3515164725865262 39.4769351955597, -0.351501411539264 39.47693079839209, -0.3514616324843299 39.47691917143527, -0.3513801204789537 39.47689533242624, -0.3513498822794336 39.476886535407544, -0.3513371202039548 39.47688282122616, -0.3511634010345848 39.476832106498655, -0.3511955625467426 39.47676572518421, -0.3512331314834062 39.476688566653664, -0.3512588571709057 39.4766355515915, -0.3513028957325078 39.4766482666589, -0.3514319098222255 39.47668544020244, -0.3514449041533628 39.47668915966691, -0.3514757195802507 39.47669805990323, -0.3514828487019043 39.47670011421004, -0.3514878872289425 39.47668986910275, -0.3514962187279554 39.47667249212972, -0.3515648523238549 39.476692614247824, -0.3516099157747871 39.47670589307757, -0.3516110669561061 39.47670618957403, -0.3516255540804444 39.47671039347368, -0.3516661323864649 39.47672239893527, -0.3516611041292514 39.476732374025076, -0.3516525608703388 39.47674920566495, -0.351644745204956 39.47676524310825, -0.3516410833191002 39.476772907089064, -0.3516255715320543 39.476804894611305, -0.3516047650131884 39.47684775200992, -0.3515881190956406 39.47688205592702, -0.3515839550518057 39.47689069941228, -0.3515674423344795 39.476924555929365, -0.3515565966745643 39.47694692044835))"
"242","46","900","75354","YJ2773F","U","03","727511.90","4373578.58","3388","4",,"6","2131","POLYGON ((-0.3558267877298287 39.4801136860492, -0.3557455345752725 39.48005219978716, -0.3556847166461925 39.48010180475422, -0.3555562473193438 39.480007082978815, -0.3555699214562528 39.4799959531842, -0.3555957017997113 39.47997518937858, -0.3556248434356531 39.4799516192922, -0.3557053099152488 39.47988660626172, -0.3558034059863006 39.47980731024478, -0.3558152764286618 39.47979776093318, -0.3558621637819918 39.47975991049423, -0.3558721212676362 39.4797517590313, -0.3559729702151363 39.47967036343061, -0.3560563156746556 39.479602983319644, -0.3561098023363836 39.47955969756883, -0.3562012979306133 39.4794858363861, -0.3562424222194652 39.47945280942409, -0.3563665974759427 39.47954734266567, -0.3564290166369762 39.47949840436099, -0.3565120086136979 39.479560019792316, -0.35642350900065 39.479631517045064, -0.3564129572148441 39.47964001538191, -0.3563653460641169 39.47967857027352, -0.3563541964735951 39.47968750543692, -0.3562581404909135 39.47976513670116, -0.3562206027703951 39.479795542671525, -0.3561201125868387 39.47987667639069, -0.3559753684691767 39.47999364845186, -0.3558785942855339 39.48007180356642, -0.3558656409471761 39.480082319193976, -0.3558400997582528 39.48010290832874, -0.3558267877298287 39.4801136860492))"
"242","46","900","79322","YJ2773D","U","07","727935.58","4373199.91","993","27",,"6","518","POLYGON ((-0.3512588571709057 39.4766355515915, -0.3511839998529782 39.476614026213156, -0.3511547900034925 39.47660570301859, -0.3510877484567134 39.47658651781684, -0.3510890738972605 39.476573035056965, -0.3510926129644091 39.476534919058395, -0.3510949734784693 39.47650947838955, -0.3510961691078482 39.47649635301626, -0.3510996979161273 39.47645850704262, -0.3511032233031871 39.47642075107716, -0.3511050099085458 39.47640124303389, -0.3511069843957936 39.47637984745696, -0.3511132492437821 39.47638017044094, -0.351174032619716 39.476383537920306, -0.3511889978884693 39.47638432948598, -0.3512603365551425 39.4763882978728, -0.3512751856842544 39.47638908678006, -0.3513360852227752 39.47639245682249, -0.3513423500736462 39.4763927797942, -0.3513383260893324 39.4764344882097, -0.351334742756828 39.47647071139232, -0.3513345890389343 39.47647169884002, -0.3513309783737983 39.47650864209129, -0.3513270636832713 39.47654747022884, -0.3513028957325078 39.4766482666589, -0.3512588571709057 39.4766355515915))"
"242","46","900","79322","YJ2773D","U","20","727926.51","4373311.33","563","18",,"6","951","POLYGON ((-0.3512383187832072 39.477507481019416, -0.3511149533746203 39.477471517053026, -0.3510702243085997 39.477458605996645, -0.3510586099211888 39.47745527829267, -0.3510403275115804 39.47744999685133, -0.3510034176856371 39.477439336008594, -0.3509519079173811 39.477424378513064, -0.3509509890154524 39.47742408730529, -0.3508787817810033 39.477403162657254, -0.350882952778258 39.477394339184734, -0.350926264806251 39.477303708637564, -0.3509341591646774 39.47730397869409, -0.3509563497338039 39.477258360295615, -0.3509920335811404 39.47718494251204, -0.3511675946931782 39.47723614992195, -0.3511797829363384 39.47723967086889, -0.3513310873750111 39.47728374878318, -0.3513453423110008 39.47728794742615, -0.351385469982548 39.47729958237053, -0.3513586065888689 39.47735500385721, -0.3512787881591959 39.47751930396353, -0.3512383187832072 39.477507481019416))"
"242","46","900","69336","YJ2763D","U","12","726894.72","4373309.91","1650","3",,"6","337","POLYGON ((-0.3632905229140868 39.477844101554645, -0.3632250923052145 39.47782523013599, -0.363223483268406 39.477824743191384, -0.3631763328222545 39.47781124131291, -0.3631299920143767 39.4777978478746, -0.3631149265667074 39.47779354219237, -0.3631234944559705 39.47777598954771, -0.3631272713048449 39.477768327801094, -0.3631706126647836 39.477679585001596, -0.3632012063876793 39.47761748882945, -0.363205346813382 39.477618663822085, -0.3633694166635565 39.477666619254194, -0.3633759689466352 39.4776685696594, -0.3633692555373383 39.477683191542646, -0.3633557771758629 39.47771072249186, -0.3633425480976551 39.47773780866236, -0.3633271847013703 39.477769080475014, -0.3633201228340225 39.477783694448306, -0.3633038783824657 39.477816747998844, -0.363302737851219 39.4778192445456, -0.3632905229140868 39.477844101554645))"
