POB_NOMBRE/String/set/size=100/set/order=20/set/label=Nombre;COD_PROVINCIA/Integer/set/order=30/set/label=Provincia/set/fk=true/set/fk_table=esp_provincias/set/fk_code=COD_PROVINCIA/set/fk_label=FORMAT('%02d - %s', COD_PROVINCIA, PRO_NAME)/set/foreingkey_closedlist=false/set/relation=1;COD_POBLACION/Integer/set/order=10/set/label=Poblacion;COD_ORIGENCOORDENADAS/Integer/set/order=40/set/label=Origen de las coordenadas/set/fk=true/set/fk_table=origen_coordenadas/set/fk_code=COD_ORIGENCOORDENADAS/set/fk_label=FORMAT('%02d - %s', COD_ORIGENCOORDENADAS, ORI_DESCRIPCION)/set/foreingkey_closedlist=true/set/relation=1;GEOMETRY/Geometry/set/srs=EPSG@4258/set/geomtype=Point@2D/set/order=60/set/hidden=true
"Montgai";"25";"25138";"1";"POINT (0.96159564 41.80050565)"
"Martinet";"25";"25139";"2";"POINT (1.695086256 42.36006461)"
"Montferrer";"25";"25140";"1";"POINT (1.42841479 42.34173684000001)"
"Montoliu de Segarra";"25";"25141";"1";"POINT (1.27068429 41.59039789)"
"Montoliu de Lleida";"25";"25142";"1";"POINT (0.58988048 41.560540950000004)"
"Montornès de Segarra";"25";"25143";"1";"POINT (1.22987015 41.60133255)"
"Nalec";"25";"25145";"1";"POINT (1.11525401 41.55999836)"
"Navès";"25";"25146";"1";"POINT (1.63504981 41.991611)"
"Cambrils";"25";"25148";"1";"POINT (1.38561606 42.13614906)"
"Oliana";"25";"25149";"1";"POINT (1.31468975 42.06520602)"
"Oliola";"25";"25150";"1";"POINT (1.17484751 41.87672873)"
"El Pi de Sant Just";"25";"25151";"2";"POINT (1.555063021 41.97764143)"
"Les Oluges";"25";"25152";"1";"POINT (1.31885067 41.69770675)"
"Els Omellons";"25";"25153";"1";"POINT (0.95910584 41.50184235)"
"Els Omells de na Gaia";"25";"25154";"1";"POINT (1.07477992 41.50021668000001)"
"Organyà";"25";"25155";"1";"POINT (1.32853817 42.21117164)"
"Os de Balaguer";"25";"25156";"1";"POINT (0.71839622 41.87163784)"
"Ossó de Sió";"25";"25157";"1";"POINT (1.15876562 41.75462412000001)"
"El Palau d'Anglesola";"25";"25158";"1";"POINT (0.88036993 41.65177294)"
"El Pont de Claverol";"25";"25161";"1";"POINT (0.97147739 42.24313889)"
"La Coma";"25";"25163";"1";"POINT (1.58883165 42.17615775)"
"Penelles";"25";"25164";"1";"POINT (0.9652945599999999 41.75736777)"
"Peramola";"25";"25165";"1";"POINT (1.26762421 42.05722832)"
"Sant Climenç";"25";"25166";"2";"POINT (1.417762675 41.95092031)"
"Pinós";"25";"25167";"1";"POINT (1.5414664800000002 41.82717388)"
"El Poal";"25";"25168";"1";"POINT (0.8551215000000001 41.67839572)"
"La Pobla de Cérvoles";"25";"25169";"1";"POINT (0.9154292400000001 41.36776774)"
"Bellaguarda";"25";"25170";"1";"POINT (0.73567044 41.33745826)"
"La Pobla de Segur";"25";"25171";"1";"POINT (0.9680387 42.247562880000004)"
"Ponts";"25";"25172";"1";"POINT (1.18781048 41.91779593)"
"El Pont de Suert";"25";"25173";"1";"POINT (0.7395928600000001 42.40713094)"
"La Portella";"25";"25174";"1";"POINT (0.64077779 41.73835465)"
"Prats";"25";"25175";"1";"POINT (1.83962548 42.36572921)"
"Preixana";"25";"25176";"1";"POINT (1.03815053 41.6078666)"
"Preixens";"25";"25177";"1";"POINT (1.05125653 41.79410924)"
"Prullans";"25";"25179";"1";"POINT (1.73627101 42.37923629)"
"Puiggròs";"25";"25180";"1";"POINT (0.89000551 41.55039239)"
"Puigverd d'Agramunt";"25";"25181";"1";"POINT (1.12196171 41.77726506)"
"Puigverd de Lleida";"25";"25182";"1";"POINT (0.73288469 41.54314115)"
"Rialp";"25";"25183";"1";"POINT (1.13490916 42.444280410000005)"
"El Pla de Sant Tirs";"25";"25185";"1";"POINT (1.38298473 42.31252980000001)"
"El Miracle";"25";"25186";"1";"POINT (1.5247169 41.91468317)"
"Rosselló";"25";"25189";"1";"POINT (0.59696806 41.69266748)"
"Salàs de Pallars";"25";"25190";"1";"POINT (0.9321034 42.21221216)"
"Sanaüja";"25";"25191";"1";"POINT (1.3108317 41.87617955)"
"Sant Guim de Freixenet";"25";"25192";"1";"POINT (1.42192856 41.65771904)"
"Sant Llorenç de Morunys";"25";"25193";"1";"POINT (1.5910454600000001 42.1375302)"
"Sant Ramon";"25";"25194";"1";"POINT (1.3570131 41.72434263)"
"Sant Esteve de la Sarga";"25";"25196";"1";"POINT (0.76403263 42.078725670000004)"
"Sant Guim de la Plana";"25";"25197";"1";"POINT (1.32454875 41.76288065)"
"Sarroca de Lleida";"25";"25200";"1";"POINT (0.5619353 41.45853936)"
"Sarroca de Bellera";"25";"25201";"1";"POINT (0.88095633 42.35942078)"
"Senterada";"25";"25202";"1";"POINT (0.9379608800000001 42.32467289)"
"La Seu d'Urgell";"25";"25203";"1";"POINT (1.46197947 42.35770885)"
"Seròs";"25";"25204";"1";"POINT (0.41029852 41.46324852)"
"Sidamon";"25";"25205";"1";"POINT (0.8316493 41.62932957)"
"El Soleràs";"25";"25206";"1";"POINT (0.68173787 41.4129494)"
"Solsona";"25";"25207";"1";"POINT (1.51954905 41.99420581)"
"Vilamur";"25";"25208";"1";"POINT (1.160422 42.37935684)"
"Sort";"25";"25209";"1";"POINT (1.12986358 42.41116591)"
"Soses";"25";"25210";"1";"POINT (0.4873495600000001 41.53316329)"
"Sudanell";"25";"25211";"1";"POINT (0.56644588 41.55680479)"
"Sunyer";"25";"25212";"1";"POINT (0.59256412 41.52280643)"
"Talarn";"25";"25215";"1";"POINT (0.9003282799999999 42.18513058)"
"Talavera";"25";"25216";"1";"POINT (1.33857617 41.58298606)"
"Tàrrega";"25";"25217";"1";"POINT (1.13935429 41.64658452)"
"Tarrés";"25";"25218";"1";"POINT (1.01998139 41.4226661)"
"Tarroja de Segarra";"25";"25219";"1";"POINT (1.27456742 41.73049158)"
"Térmens";"25";"25220";"1";"POINT (0.75915149 41.71883031)"
"Tírvia";"25";"25221";"1";"POINT (1.24300134 42.515186)"
"Tiurana";"25";"25222";"1";"POINT (1.24025148 41.96830839)"
"Torà";"25";"25223";"1";"POINT (1.40390911 41.81281676)"
"Els Torms";"25";"25224";"1";"POINT (0.71976235 41.39404826)"
"Tornabous";"25";"25225";"1";"POINT (1.05387518 41.7014866)"
"Torrebesses";"25";"25226";"1";"POINT (0.59453044 41.42662225)"
"La Torre de Capdella";"25";"25227";"1";"POINT (0.98280258 42.421766)"
"Torrefarrera";"25";"25228";"1";"POINT (0.60717468 41.67308475)"
"Torregrossa";"25";"25230";"1";"POINT (0.83184174 41.58095023)"
"Torrelameu";"25";"25231";"1";"POINT (0.70234051 41.70468551)"
"Torres de Segre";"25";"25232";"1";"POINT (0.51295011 41.5350801)"
"Torre-serona";"25";"25233";"1";"POINT (0.63069784 41.67267185)"
"Tremp";"25";"25234";"1";"POINT (0.8956650999999999 42.16727663)"
"Vallbona de les Monges";"25";"25238";"1";"POINT (1.08906662 41.5252865)"
"Anserall";"25";"25239";"1";"POINT (1.45809616 42.38294481)"
"Vallfogona de Balaguer";"25";"25240";"1";"POINT (0.81511418 41.75233958)"
"Verdú";"25";"25242";"1";"POINT (1.14344814 41.61104767)"
"Vielha";"25";"25243";"1";"POINT (0.79595308 42.70142712)"
"Vilagrassa";"25";"25244";"1";"POINT (1.10596977 41.64832692)"
"Vilaller";"25";"25245";"1";"POINT (0.71715457 42.47657561)"
"Vilamòs";"25";"25247";"1";"POINT (0.72689507 42.74739884)"
"Vilanova de Bellpuig";"25";"25248";"1";"POINT (0.96086785 41.61470838)"
"Vilanova de l'Aguda";"25";"25249";"1";"POINT (1.25252666 41.911243)"
"Vilanova de Meià";"25";"25250";"1";"POINT (1.02291209 41.99540047)"
"Vilanova de Segrià";"25";"25251";"1";"POINT (0.62031878 41.71178761)"
"Vila-sana";"25";"25252";"1";"POINT (0.9259551000000001 41.66222337)"
"El Vilosell";"25";"25253";"1";"POINT (0.94717724 41.38396545)"
"Vilanova de la Barca";"25";"25254";"1";"POINT (0.72626516 41.68942758)"
"Vinaixa";"25";"25255";"1";"POINT (0.97556091 41.42851246)"
"Ribera de Cardós";"25";"25901";"1";"POINT (1.2282722700000002 42.56377817)"
"Sant Martí de Maldà";"25";"25902";"1";"POINT (1.05462347 41.55922263)"
"La Guingueta d'Àneu";"25";"25903";"1";"POINT (1.13216716 42.59385976)"
"Guàrdia de Noguera";"25";"25904";"1";"POINT (0.87788434 42.09252449)"
"Sant Antolí i Vilanova";"25";"25905";"1";"POINT (1.34224779 41.62514605)"
"Noves de Segre";"25";"25906";"1";"POINT (1.34232227 42.2941177)"
"Torrefeta";"25";"25907";"1";"POINT (1.27328869 41.75443899)"
"Fígols";"25";"25908";"1";"POINT (1.3380683 42.202078920000005)"
"Sorribes de la Vansa";"25";"25909";"1";"POINT (1.48002645 42.23346991)"
"Tuixent";"25";"25910";"1";"POINT (1.56621068 42.23149010000001)"
"Les Pallargues";"25";"25911";"1";"POINT (1.19779836 41.7622861)"
"Gimenells";"25";"25912";"1";"POINT (0.38912494 41.65214356)"
"Riu de Cerdanya";"25";"25913";"1";"POINT (1.82612652 42.34519312)"
"Ábalos";"26";"26001";"1";"POINT (-2.71130867 42.57304891)"
"Agoncillo";"26";"26002";"1";"POINT (-2.2916499 42.44592226)"
"Aguilar del Río Alhama";"26";"26003";"1";"POINT (-1.9941216000000002 41.96170118)"
"Ajamil de Cameros";"26";"26004";"1";"POINT (-2.48762529 42.16750753)"
"Albelda de Iregua";"26";"26005";"1";"POINT (-2.47260697 42.35697454)"
"Alberite";"26";"26006";"1";"POINT (-2.44084091 42.40622168)"
"Alcanadre";"26";"26007";"1";"POINT (-2.12053306 42.40429832)"
"Aldeanueva de Ebro";"26";"26008";"1";"POINT (-1.8880546 42.22958732000001)"
"Alesanco";"26";"26009";"1";"POINT (-2.81705346 42.41347595)"
"Alesón";"26";"26010";"1";"POINT (-2.69021015 42.40509672)"
